Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Food science,"Study of the physical, chemical and biological properties of food and food processing",Food science | Study of food composition processing and safety.,Food science | Study of food composition processing and safety.,-,-,-
Forensic science,Application of science to criminal and civil laws – the use of scientific methods or expertise to investigate crimes or examine evidence that might be presented in a court of law,Forensic science | Study of applying science to legal investigations.,Forensic science | Study of applying science to legal investigations.,-,-,-
Genetics,"Science of genes, heredity, and variation in living organisms",Genetics | Study of genes heredity and variation.,Genetics | Study of genes heredity and variation.,-,-,-
Geology,Scientific study of Earth's physical composition – study of the rocks of a planet,Geology | Study of Earth materials structure and history.,Geology | Study of Earth materials structure and history.,-,-,-
Geomatics,"Technology-driven discipline for acquiring, processing and visualising geospatial information",Geomatics | Study of measuring and analyzing spatial data.,Geomatics | Study of measuring and analyzing spatial data.,-,-,-
Geomatics engineering,"Technology-driven discipline for acquiring, processing and visualising geospatial information",Geomatics | Study of measuring and analyzing spatial data. (?),-,Geomatics | Study of measuring and analyzing spatial data.,-,-
Geometry,"Branch of mathematics – study the sizes, shapes, positions, angles and dimensions of things.",Geometry and Topology | Study of shapes spaces and topological properties. (?),-,Geometry and Topology | Study of shapes spaces and topological properties.,-,-
Geoscience,includes all fields of natural science related to the planet Earth.[1],Earth science | Study of Earth systems and physical processes. (?),-,-,-,-
GIS,"Technology-driven discipline for acquiring, processing and visualising geospatial information",Geographic information systems | Study of spatial data systems and geographic analysis. (?),-,-,-,-
Glossology,Scientific study of language – study of language; study of the tongue,X,-,-,-,-
Googology,Numbers significantly larger than those used regularly – study of large numbers,X,-,-,-,-
Historiography,Study of the methods used by historians,History | Study of past events and their interpretation. (?),-,-,-,-
Historiology,The study of history.,History | Study of past events and their interpretation. (?),-,-,-,-
Iatrology,treatise or text on medical topics; study of medicine [citation needed],Medicine and health | Study of medicine healthcare and human health. (?),-,-,-,-
Ideogeny,study of origins of ideas [citation needed],X,-,-,-,-
Idiomology,"study of idiom, jargon or dialect [citation needed][relevant?]",Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Information science,Academic field concerned with collection and analysis of information,Information science | Study of information organization retrieval and use.,Information science | Study of information organization retrieval and use.,-,-,-
Information security,"Discipline protecting information assets against unauthorised access, disclosure or modification",Computer security and reliability | Study of secure and reliable computing systems. (?),-,-,-,-
Innovation Studies,"Handled as synonym for ""Thought process for making the strange familiar and the familiar strange – study of processes of invention""",X,-,-,-,-
Japanology,"Area studies focused on Japan – The study of Japan, its language, culture and history[29]",Japanology (Japanese studies) | Study of Japan and Japanese society and culture. (?),-,Japanology (Japanese studies) | Study of Japan and Japanese society and culture.,-,-
Kinematics,Branch of physics describing the motion of objects without considering forces – study of motion,Kinematics | Study of motion without regard to forces.,Kinematics | Study of motion without regard to forces.,-,-,-
Kinetics,Subfield of physics – study of forces producing or changing motion,Kinetics | Study of motion with forces and energies.,Kinetics | Study of motion with forces and energies.,-,-,-
Library and information science,"Branch of academic disciplines – study of organization, access, collection, and protection/regulation of information, whether in physical or digital forms.[citation needed]",Library and museum studies | Study of library and museum information practices. (?),-,-,-,-
Library science,Branch of academic disciplines – study of collection of information [citation needed],Library and museum studies | Study of library and museum information practices. (?),-,-,-,-
Ludology,Study of games and the act of playing them,Game studies | Study of games as media forms and cultural practices. (?),-,-,-,-
Materials science,"Interdisciplinary field exploring the properties, performance and applications of materials",Materials engineering | Study of engineering of materials and their properties. (?),-,-,-,-
Mechanics,Science concerned with physical bodies subjected to forces or displacements,Mechanics | Study of motion forces and physical systems.,Mechanics | Study of motion forces and physical systems.,-,-,-
Medicine,"Diagnosis, treatment, and prevention of illness[relevant?]",Medicine and health | Study of medicine healthcare and human health. (?),-,-,-,-
Melology,Scholarly study of music – study of music; musicology [relevant?],Musicology | Study of music. (?),-,-,-,-
Mereology,Study of parts and the wholes they form – study of part-whole relationships,X,-,-,-,-
Metaphysics,Study of fundamental reality – study of principles of nature and thought [relevant?],Metaphysics | Study of fundamental nature of reality and being.,Metaphysics | Study of fundamental nature of reality and being.,-,-,-
Metapsychology,Psychological aspect – study of nature of the mind [citation needed][relevant?],Psychology | Study of mind behavior and mental processes. (?),-,-,-,-
Microbiology,Study of microscopic organisms (microbes),Microbiology | Study of microorganisms and microbial processes.,Microbiology | Study of microorganisms and microbial processes.,-,-,-
Morphology,study of forms and the development of structures [relevant?],Morphology | Study of the structure and formation of words.,Morphology | Study of the structure and formation of words.,-,-,-
Musicology,Scholarly study of music – study of music [relevant?],Musicology | Study of music.,Musicology | Study of music.,-,-,-
Navigation,Process of monitoring and controlling the movement of a craft or vehicle from one place to another – study of controlling a movement of a vehicle from one place to another[relevant?],Navigation | Study of methods for determining position and route.,Navigation | Study of methods for determining position and route.,-,-,-
Neutrosophy,study of the origin and nature of philosophical neutralities [citation needed][relevant?],X,-,-,-,-
Noology,Spanish philosopher (1898–1983) – science of the intellect [citation needed],Psychology | Study of mind behavior and mental processes. (?),-,-,-,-
Onomastics,Study of proper names[relevant?],Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Optics,Branch of physics that studies light,Optics | Study of light and its interactions with matter.,Optics | Study of light and its interactions with matter.,-,-,-
Organic chemistry,"Chemistry branch focused on the structure, properties and reactions of carbon-based compounds",Organic chemistry | Study of carbon-based compounds and reactions.,Organic chemistry | Study of carbon-based compounds and reactions.,-,-,-
Palaeography,"Study of ancient and historical handwriting forms to date, read and contextualise manuscripts",Philology | Study of historical texts and language through manuscripts. (?),-,-,-,-
Paleography,"Study of ancient and historical handwriting forms to date, read and contextualise manuscripts",Philology | Study of historical texts and language through manuscripts. (?),-,-,-,-
Paradoxology,Logically self-contradictory statement – study of paradoxes [citation needed],Logic | Study of principles of valid reasoning. (?),-,-,-,-
Paroemiology,study of proverbs[citation needed],Literature | Study of written texts and literary traditions. (?),-,-,-,-
Particle physics,Study of subatomic particles and forces,Particle physics | Study of fundamental particles and forces.,Particle physics | Study of fundamental particles and forces.,-,-,-
Performing arts,"Creative disciplines (music, theatre, dance, etc.) presented live for an audience",Performing arts | Study of live performance disciplines such as dance theatre and film.,Performing arts | Study of live performance disciplines such as dance theatre and film.,-,-,-
Phenomenology,Philosophical method and schools of philosophy – study of phenomena [citation needed][relevant?],Phenomenology | Study of subjective experience and conscious phenomena.,Phenomenology | Study of subjective experience and conscious phenomena.,-,-,-
Philology,Study of language in historical sources,Philology | Study of historical texts and language through manuscripts.,Philology | Study of historical texts and language through manuscripts.,-,-,-
Philosophy of science,"Critical inquiry into the foundations, methods and implications of scientific practice",Philosophy of physical sciences | Study of philosophical foundations of the physical sciences. (?),-,-,-,-
Phonology,Study of sound organization in languages,Phonology | Study of sound systems and patterns in language.,Phonology | Study of sound systems and patterns in language.,-,-,-
Phraseology,Linguistic study of phrases[relevant?],Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Phytology,Study of plant life,Botany | Study of plants and plant biology. (?),-,-,-,-
Pseudology,art or science of lying [citation needed][relevant?],X,-,-,-,-
Punnology,study of puns[39],Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Quantum mechanics,Description of physical properties at the atomic and subatomic scale – a fundamental theory in physics which describes nature at the smallest scales of energy levels of atoms and subatomic particles[citation needed],Quantum mechanics | Study of physical behavior at atomic scales.,Quantum mechanics | Study of physical behavior at atomic scales.,-,-,-
Quantum physics,Description of physical properties at the atomic and subatomic scale – the study of matter and energy at the most fundamental level[citation needed],Quantum physics | Study of physical phenomena at quantum scales.,Quantum physics | Study of physical phenomena at quantum scales.,-,-,-
Radiochemistry,Chemistry of radioactive materials – study of ordinary chemical reactions under radioactive circumstances[citation needed],Radiochemistry | Study of radioactive substances and reactions.,Radiochemistry | Study of radioactive substances and reactions.,-,-,-
Religion,Study of the nature of deities and religious beliefs - study of religion[citation needed][relevant?],Religion | Study of religious beliefs practices and institutions in general.,Religion | Study of religious beliefs practices and institutions in general.,-,-,-
Schematonics,art of using gesture to express tones [citation needed][relevant?],X,-,-,-,-
Scientific modelling,Scientific activity that produces models – study of application of models to understand a particular problem [citation needed],Scientific thinking | Study of scientific reasoning and methods. (?),-,-,-,-
Scientific programming,Language for communicating instructions to a machine – study of programming [citation needed][relevant?],Scientific computing (Computational science) | Study of computational methods for scientific problems. (?),-,-,-,-
Semantics,Study of meaning in language,Semantics | Study of meaning in language and symbols.,Semantics | Study of meaning in language and symbols.,-,-,-
Semantology,science of meanings of words [citation needed],Semantics | Study of meaning in language and symbols. (?),-,-,-,-
Significs,Linguistic and philosophical term – science of meaning[citation needed] [relevant?],Semantics | Study of meaning in language and symbols. (?),-,-,-,-
Sinology,Area studies focused on China,Sinology | Study of China and Chinese language and culture.,Sinology | Study of China and Chinese language and culture.,-,-,-
Sociology,Social science that studies human society and its development,Sociology | Study of society social institutions and relationships.,Sociology | Study of society social institutions and relationships.,-,-,-
Soil Science,"Soil science, study of soils, especially agricultural soils.[9]",Edaphology / Pedology or Soil science | Study of soils and soil formation processes. (?),-,Edaphology / Pedology or Soil science | Study of soils and soil formation processes.,-,-
Spectrology,Study involving matter and electromagnetic radiation,Spectroscopy | Study of spectra to determine composition and motion. (?),-,-,-,-
Spectroscopy,Study involving matter and electromagnetic radiation – study of spectra,Spectroscopy | Study of spectra to determine composition and motion.,Spectroscopy | Study of spectra to determine composition and motion.,-,-,-
Statics,Branch of mechanics concerned with balance of forces in nonmoving systems,Statics | Study of forces in systems at rest.,Statics | Study of forces in systems at rest.,-,-,-
Statistics,"discipline that concerns the collection, organization, analysis, interpretation, and presentation of data.[2]",Statistics | Study of data collection analysis and inference.,Statistics | Study of data collection analysis and inference.,-,-,-
Stereochemistry,Subdiscipline of chemistry – study of chemistry of the relative spatial arrangement of atoms that form the structure of molecules and their manipulation. [citation needed],Chemistry | Study of matter its composition and chemical reactions. (?),-,-,-,-
Surveying,"Technology-driven discipline for acquiring, processing and visualising geospatial information",Surveying | Study of measuring and mapping land and structures.,Surveying | Study of measuring and mapping land and structures.,-,-,-
Synectics,Thought process for making the strange familiar and the familiar strange – study of processes of invention,X,-,-,-,-
Syntax,System responsible for combining morphemes into complex structures – study of sentence structure,Syntax | Study of sentence structure and grammatical rules.,Syntax | Study of sentence structure and grammatical rules.,-,-,-
Taxonomy,"Science of naming, defining and classifying organisms",Taxonomy | Study of naming and classifying organisms.,Taxonomy | Study of naming and classifying organisms.,-,-,-
Technology,"application of conceptual knowledge to achieve practical goals, especially in a reproducible way.",Technology | Study of engineering and technological applications of physics.,Technology | Study of engineering and technological applications of physics.,-,-,-
Technology Studies,"application of conceptual knowledge to achieve practical goals, especially in a reproducible way.",Science studies/Science and technology studies | Study of science and technology as social practices. (?),-,Science studies/Science and technology studies | Study of science and technology as social practices.,-,-
Teleology,Thinking in terms of destiny or purpose – study of final causes; analysis in terms of purpose[citation needed][relevant?],Teleology | Study of purpose and goal directedness in nature and action.,Teleology | Study of purpose and goal directedness in nature and action.,-,-,-
Theology,Study of the nature of deities and religious beliefs - study of religion[citation needed][relevant?],Theology | Study of theological doctrines and systematic beliefs.,Theology | Study of theological doctrines and systematic beliefs.,-,-,-
Theoretical computer science,Subfield of computer science and mathematics,Theoretical computer science | Study of theoretical foundations of computation.,Theoretical computer science | Study of theoretical foundations of computation.,-,-,-
Thermodynamics,"Physics of heat, work, and temperature",Thermodynamics | Study of heat energy and work in systems.,Thermodynamics | Study of heat energy and work in systems.,-,-,-
Timbrology,study of postage stamps [citation needed],Musicology | Study of music. (?),-,-,-,-
Topology,Branch of mathematics – study of places and their natural features[citation needed],Geometry and Topology | Study of shapes spaces and topological properties. (?),-,Geometry and Topology | Study of shapes spaces and topological properties.,-,-
Toponymics,Study of place names,Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Toponymy,Study of place names,Linguistics | Study of language structure use and meaning. (?),-,-,-,-
Typography,Art of arranging type – art and technique of arranging type[citation needed],Graphic arts | Study of visual communication through graphic media. (?),-,-,-,-
Zoology,Scientific study of animals,Zoology | Study of animals and animal biology.,Zoology | Study of animals and animal biology.,-,-,-
Cryptology,Practice and study of secure communication techniques – study of codes.,Cryptography | Study of secure communication and encryption methods. (?),-,-,-,-
Acanthochronology,Study of cactus spines and the chronology of their growth,X,-,-,-,-
Adenology,Historic term for the study of glands—especially endocrine glands—and the diseases that affect them,Anatomy | Study of structure of organisms. (?),-,-,-,-
Aerobiology,Study of airborne organisms,Aerobiology | Study of airborne biological particles and processes.,Aerobiology | Study of airborne biological particles and processes.,-,-,-
Aerolithology,Science of meteorites – study of aerolites; meteorites.[7],X,-,-,-,-
Aeropalynology,study of pollens and spores in atmosphere.[8],Palynology | Study of pollen and spores in archaeological contexts. (?),-,-,-,-
Aerospace Engineering,Branch of engineering,Aerospace engineering | Study of engineering for aircraft and spacecraft.,Aerospace engineering | Study of engineering for aircraft and spacecraft.,-,-,-
Agriculture,Science of cultivating the earth – study of agriculture,Agriculture | Study of cultivation of crops and livestock.,Agriculture | Study of cultivation of crops and livestock.,-,-,-
Agrobiology,Interdisciplinary studies of the interactions between plants and soil,Agriculture | Study of cultivation of crops and livestock. (?),-,-,-,-
Agrogeology,Study of origins and applications of minerals important to farming,Geology | Study of Earth materials structure and history. (?),-,-,-,-
Agronomy,Science of producing and using plants,Agronomy | Study of crop production and soil management.,Agronomy | Study of crop production and soil management.,-,-,-
Agrostology,Scientific study of the grasses,Botany | Study of plants and plant biology. (?),-,-,-,-
Algology (biology),"Branch of botany—more commonly called phycology—devoted to the taxonomy, physiology and ecology of algae",Botany | Study of plants and plant biology. (?),-,-,-,-
Anatomy,Study of the structure of organisms,Anatomy | Study of structure of organisms.,Anatomy | Study of structure of organisms.,-,-,-
Andrology,Medical specialty – study of men's physiology.,Andrology | Study of male reproductive health.,Andrology | Study of male reproductive health.,-,-,-
Angiology,"Branch of internal medicine, which deals with vascular disease",Anatomy | Study of structure of organisms. (?),-,-,-,-
Arachnology,"Scientific study of arachnides such as spiders, ticks and mites",Arachnology | Study of arachnids such as spiders and scorpions.,Arachnology | Study of arachnids such as spiders and scorpions.,-,-,-
Archaeology,Study of human activity based on materials left behind,Archaeology | Study of past societies through material remains.,Archaeology | Study of past societies through material remains.,-,-,-
Archelogy,study of first principles.[10],Archaeology | Study of past societies through material remains. (?),-,-,-,-
Architecture,Applied art and engineering discipline concerned with designing and constructing built environments,Architecture | Study of design of buildings and built environments.,Architecture | Study of design of buildings and built environments.,-,-,-
Archival science,"Science of storage, registration and preservation of historical data",Archival science | Study of preserving and organizing archival records.,Archival science | Study of preserving and organizing archival records.,-,-,-
Aristology,the art or science of cooking and dining – science or art of dining.[relevant?],Culinary Arts | Study of the creative practice of cooking and food presentation. (?),-,-,-,-
Arthrology,Scientific study of joints and articulations,Anatomy | Study of structure of organisms. (?),-,-,-,-
Arthropodology,Study of arthropods,Arthropodology | Study of arthropods and their biology.,Arthropodology | Study of arthropods and their biology.,-,-,-
Astacology,Scientific study of crayfish,Zoology | Study of animals and animal biology. (?),-,-,-,-
Asteroseismology,Study of oscillations in stars,Astronomy | Study of celestial objects and the universe. (?),-,-,-,-
Astrobiology,Science concerned with life in the universe,Astrobiology | Study of life in the universe and potential habitats.,Astrobiology | Study of life in the universe and potential habitats.,-,-,-
Astrodynamics,Field of classical mechanics concerned with the motion of spacecraft,-,Astrodynamics | Study of spacecraft motion and orbital dynamics.,Astrodynamics | Study of spacecraft motion and orbital dynamics.,Astrodynamics | Study of spacecraft motion and orbital dynamics.,-
Astrogeology,Geology of astronomical objects apparently in orbit around stellar objects,-,-,-,-,-
Astrophysics,Subfield of astronomy – study of behaviour of interstellar matter.,-,Astrophysics | Study of physical processes in astronomical objects.,Astrophysics | Study of physical processes in astronomical objects.; Computational astrophysics | Study of astrophysical systems using computation.; High-energy astrophysics | Study of high energy astrophysical phenomena.; Relativistic astrophysics | Study of astrophysics in relativistic regimes.; Stellar astrophysics | Study of physical processes in stars.,Astrophysics | Study of physical processes in astronomical objects.,-
Atmology,the science of aqueous vapor.[11],-,Atmology | Study of atmospheric conditions and processes.,Atmology | Study of atmospheric conditions and processes.,Atmology | Study of atmospheric conditions and processes.,-
Audiology,"Branch of science that studies hearing, balance, and related disorders",-,Audiology | Study of hearing balance and auditory disorders.,Audiology | Study of hearing balance and auditory disorders.,Audiology | Study of hearing balance and auditory disorders.,-
Auxology,Study of all aspects of human physical growth,-,-,-,-,-
Bacteriology,Subdiscipline of microbiology that studies bacteria,-,Bacteriology | Study of bacteria and bacterial processes.,Bacteriology | Study of bacteria and bacterial processes.,Bacteriology | Study of bacteria and bacterial processes.,-
Batology,Study of brambles,-,-,-,-,-
Behavioural genetics,Study of genetic-environment interactions influencing behaviour,-,Behavioural genetics | Study of genetic influences on behavior.,Behavioural genetics | Study of genetic influences on behavior.,Behavioural genetics | Study of genetic influences on behavior.,Behavioural genetics | Study of genetic influences on behavior.
Bibliology,Organized listing of books and the systematic description of them as objects,-,-,-,-,-
Bibliotics,study of documents to determine authenticity.,-,-,-,-,-
Biogeochemistry,Study of chemical cycles of the earth that are either driven by or influence biological activity,-,Biogeochemistry | Study of chemical cycles of elements in biological and geological systems.,Biogeochemistry | Study of chemical cycles of elements in biological and geological systems.,Biogeochemistry | Study of chemical cycles of elements in biological and geological systems.,-
Biometrics,Metrics related to human characteristics,-,-,-,-,-
Bionomics (biology),Historical synonym for ecology (study of organisms in their environment),-,-,-,-,-
Bromatology,Applied science devoted to the study of food – study of food.,-,-,-,-,-
Cacogenics,Decrease in genetic traits deemed desirable and study thereof,-,-,-,-,-
Calorifics,study of heat – relating to the production of heat [14],-,-,-,-,-
Carcinology,Study of crustaceans,-,Carcinology | Study of crustaceans and their biology.,Carcinology | Study of crustaceans and their biology.,Carcinology | Study of crustaceans and their biology.,-
Caricology,Study of sedges,-,-,-,-,-
Carpology,Study of seeds and fruit,-,-,-,-,-
Cartography,Study and practice of making maps – science of making maps and globes.,-,Cartography | Study of mapmaking and spatial representation.,Cartography | Study of mapmaking and spatial representation.; Celestial cartography | Study of mapping stars and celestial objects.; Planetary cartography | Study of mapping planetary surfaces.,Cartography | Study of mapmaking and spatial representation.,-
Catacoustics,science of echoes or reflected sounds.[citation needed],-,-,-,-,-
Celestial mechanics,Branch of astronomy – study of motion of objects in outer space.,-,Celestial mechanics | Study of motion of celestial bodies.,Celestial mechanics | Study of motion of celestial bodies.,Celestial mechanics | Study of motion of celestial bodies.,Celestial mechanics | Study of motion of celestial bodies.
Cell biology,Branch of biology that studies cells – study of the different structures and functions of both eukaryote and prokaryote cells.,-,Cell biology | Study of cells and their structure and function.,Cell biology | Study of cells and their structure and function.,Cell biology | Study of cells and their structure and function.,Cell biology | Study of cells and their structure and function.
Characterology,The study of character – study of development of character.,-,-,-,-,-
Chirography,Study of penmanship and handwriting in all of its aspects – study of handwriting or penmanship.,-,-,-,-,-
Chromatics,Technique to quantify and describe physically the human color perception – study of color.,-,-,-,-,-
Chrysology,study of precious metals.[citation needed],-,-,-,-,-
Civil engineering,"Engineering specialty that designs, builds and maintains infrastructure such as roads, bridges and water systems",-,-,-,-,-
Climate Science,"Scientific study of climate, defined as weather conditions averaged over a period of time – study of climate.",-,-,-,-,-
Climatology,"Scientific study of climate, defined as weather conditions averaged over a period of time – study of climate.",-,Climatology | Study of climates and long term atmospheric patterns.,Climatology | Study of climates and long term atmospheric patterns.; Palaeoclimatology | Study of past climates using geological records.; Climatology / Paleoclimatology / Palaeogeography | Study of climate and past climate history.,Climatology | Study of climates and long term atmospheric patterns.; Climatology / Paleoclimatology / Palaeogeography | Study of climate and past climate history.,-
Codicology,Study of codices or manuscript books,-,-,-,-,-
Communication studies,"Social-science field examining human and mediated communication processes, messages and effects",-,Communication studies | Study of communication processes theories and effects.,Communication studies | Study of communication processes theories and effects.,Communication studies | Study of communication processes theories and effects.,Communication studies | Study of communication processes theories and effects.
Coniology,Study of atmospheric dust and its effects,-,-,-,-,-
Coprology,Study of faeces,-,-,-,-,-
Cosmochemistry,Study of the chemical composition of matter in the universe,-,Cosmochemistry | Study of chemical composition of the universe.,Cosmochemistry | Study of chemical composition of the universe.,Cosmochemistry | Study of chemical composition of the universe.,-
Cosmology,"Scientific study of the origin, evolution, and eventual fate of the universe",-,Cosmology | Study of the origin and evolution of the universe.,Cosmology | Study of the origin and evolution of the universe.; Physical cosmology | Study of physical models of cosmology.; Physical cosmology | Study of physical models of the universe.,Cosmology | Study of the origin and evolution of the universe.,-
