playlist_id,channel_id,channel_title,title,description,published_at,item_count,default_language,playlist_type_id
PL94D154B9880DBE99,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,COMPLEXITY!,Some great videos roughly chosen for the complex structures or behaviors they exhibit.,2011-06-18T19:09:26.814475Z,14,,1
PLCC8FE4E06EA4941C,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Cool Things to Know -- LEANBACK #7,Knowledge!,2011-07-16T21:08:35.960224Z,12,,1
PLE62536DAAECB0527,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Cool Experiments!,fun experiments and more!,2011-08-24T19:41:02.76931Z,14,,1
PL57A31A57F0DBD2B2,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,VSauce Leanback,,2011-09-15T21:24:56.535838Z,10,,1
PL8B1DDE384770FD97,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,DOT.,Michael Explains Things.,2011-09-15T21:33:28.539339Z,103,,1
PLDB2EF5413568CBAA,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,LUT,Amazing things you can BUY,2011-09-15T21:37:05.540829Z,27,,1
PL2F1974F17D69E815,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Extra Sauce,"WTF, Up All Knight, BOAT and MORE!!!",2011-09-15T21:46:23.544328Z,12,,1
PL590B0AAC059F9FBB,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Brain Candy,Some cool videos you also learn from.,2011-10-23T22:01:33.87945Z,16,,1
PLE3048008DAA29B0A,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,THE MIND,psychology conscious consciousness abnormal disorder anosognosia illusions,2012-01-06T22:58:28.050488Z,16,,1
PL1ED3DD7FFE1BA7B1,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,SURPRISE!,some neat videos that surprised me,2012-04-17T15:28:27.015285Z,16,,1
PL58CD3A73AFD20DF8,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Vsauce Leanback!,,2012-05-24T18:05:52.171951Z,24,,1
PLZRRxQcaEjA5fgfW3a3Q0rzm6NgbmICtg,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Vsauce Leanback #11,Vsauce Leanback January 2013,2013-01-02T18:06:21.63073Z,20,,1
PLZRRxQcaEjA4Tz_2QGed_SykLTr5ZM9qi,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,"Extra Sauce for ""How Big Can a Person Get?""",,2013-04-17T11:58:54.938812Z,2,,1
PLZRRxQcaEjA6-z3PATyrAfi3U9wvIhLS6,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,WOAH,,2014-04-03T18:23:31.463385Z,3,,1
PLZRRxQcaEjA7hrOOdNikWyDUgxPSOeBhw,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Physics,,2015-02-26T23:23:30.069994Z,25,,1
PLZRRxQcaEjA7zLrKGq17jA6dBbdC-lCZT,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Human Behavior,,2015-02-26T23:26:03.409961Z,50,,1
PLZRRxQcaEjA4LVq375Kp2GzJlcwfpJogd,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Art,,2015-02-26T23:28:11.38669Z,6,,1
PLZRRxQcaEjA5tpoxlKeVnPKIvfD1IavPq,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Space,,2015-02-26T23:28:42.253066Z,19,,1
PLZRRxQcaEjA4apgpAbqB1ApQCWnr3KIxv,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Language,,2015-02-26T23:29:29.28726Z,6,,1
PLZRRxQcaEjA7DisOxBxnYObVUKvLKJKy7,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Technology,,2015-02-26T23:29:57.577878Z,9,,1
PLZRRxQcaEjA6B2kYpu8sIL9PCzH95MAk4,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Culture,,2015-02-26T23:30:26.514772Z,20,,1
PLZRRxQcaEjA5WaVaMtEB86yVXSH-XZ8eT,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Knowledge,,2015-02-26T23:32:22.770646Z,15,,1
PLZRRxQcaEjA5wCk1kHhdOhSTWZT6Ex3Gl,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Earth,,2015-02-26T23:34:35.660928Z,13,,1
PLZRRxQcaEjA7kcmXICcmzIT5rAjVHPhuU,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Perception,,2015-02-26T23:35:26.720778Z,13,,1
PLZRRxQcaEjA4qyEuYfAMCazlL0vQDkIj2,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field : Season 1,"In Mind Field, host Michael Stevens brings his passion for science to his most ambitious subject yet: something we still know very little about, human behavior.
 
Using real subjects (including guest stars and Michael himself) Mind Field reveals some of the most mind-blowing, significant, and least-understood aspects of the human psyche.
 
Through expert interviews, rare footage from historical experiments, and brand-new, ground-breaking demonstrations of human nature at work, Mind Field explores the surprising things we know (and don’t know) about why people are the way they are.",2017-01-06T19:35:33.86091Z,8,,1
PLZRRxQcaEjA7wmh3Z6EQuOK9fm1CqnJCI,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field : Season 2,"Creator/host Michael Stevens takes us on an even deeper dive into the mysterious depths of the human psyche.  Working with top Universities and cutting-edge Research Labs, Michael travels the world to explore the latest frontiers in psychology and neuroscience through groundbreaking demonstrations that test the powers and limits of the human mind.  From testing psychedelic drugs in the Amazon jungle to investigating how unsuspecting test subjects handle terrifying life-or-death decisions, each episode offers an unprecedented journey into the ever-shifting boundaries of the Mind Field.In the third season of Mind Field, creator/host Michael Stevens continues his never-ending quest to uncover the inner workings of the human mind. With unprecedented access to leading universities and researchers who are turning science fiction into science fact, Michael travels farther than he ever has before, designing demonstrations which put theories to the test in the real world.",2017-12-02T21:35:09.593616Z,8,,1
PLZRRxQcaEjA71ioWgeLVeSkBNhpWRgxWF,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field - Season 2 Bonus Content,,2017-12-06T04:05:24.154256Z,17,,1
PLZRRxQcaEjA7LX19uAySGlc9hmprBxfEP,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field : Season 3,"In the third season of Mind Field, creator/host Michael Stevens continues his never-ending quest to uncover the inner workings of the human mind. With unprecedented access to leading universities and researchers who are turning science fiction into science fact, Michael travels farther than he ever has before, designing demonstrations which put theories to the test in the real world.",2018-11-29T19:16:14.660108Z,8,,1
PLZRRxQcaEjA6mH0AMUIERDpbWX5rvMdKf,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field : Season 3 Bonus Content,,2018-12-04T23:12:18.77191Z,19,,1
PLZRRxQcaEjA60X_-tPzqSoBqpSXPX2wjH,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Mind Field Specials,,2019-09-27T18:04:58.993217Z,2,,1
PLFs4vir_WsTyXrrpFstD64Qj95vpy-yo1,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Science and other stuff explained,Our videos *kind of* in an order that makes sense.,2014-05-29T09:17:05.495712Z,50,,1
PLFs4vir_WsTwEd-nJgVJCZPNL3HALHHpF,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,The Universe and Space stuff,All our space related videos.,2014-08-14T06:58:32.356759Z,51,,1
PLFs4vir_WsTysVwsTy7hVL89W2MdQtU_k,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Futurism,,2014-08-27T00:42:30.330519Z,32,,1
PLFs4vir_WsTzcfD7ZE8uO3yX-GCKUk9xZ,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Our Best Stuff,New here? Try these.,2014-12-20T22:04:12.644657Z,55,,1
PLFs4vir_WsTyY31efyHdmtp9l7DpR0Wvi,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Medicine & Biology,,2015-03-12T15:42:10.176676Z,57,,1
PLFs4vir_WsTySi9F8v5pvCi6zQj7Cwneu,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Human Stuff,,2016-04-19T23:00:13.396181Z,97,,1
PLFs4vir_WsTxontcYm5ctqp89cNBJKNrs,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,The Existential Crisis Playlist,,2016-10-22T05:16:57.76922Z,73,,1
PLFs4vir_WsTwKi93uWnfp4xdVuu4M-OdN,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Black Holes,"Black holes are the most mysterious and extreme objects in the universe—where physics itself breaks down. In this playlist, we explore the mind-bending science of black holes and the bizarre phenomena surrounding them. What happens if you fall into one? Is information truly lost forever, or does the paradox have an answer? Dive into strange ideas like black hole bombs, gravastars, and hypothetical black hole stars. We’ll take you beyond the event horizon, into the realm of neutron stars and strange matter, where the rules of reality begin to blur. Discover the power of quasars—the brightest beacons of the cosmos—and meet the largest black holes known, monsters millions of times the mass of our Sun. From the terrifying to the theoretical, this series is a journey to the edge of space, time, and understanding.",2024-06-07T11:29:32.130148Z,12,,1
PLFs4vir_WsTyRF0gggqGopQvUZR-oK_c6,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Climate Change,"Climate change is the biggest challenge of our time—but how did we get here? This playlist explores the roots of the crisis, tracing the historical, political, and economic forces that brought us to the brink. Who is truly responsible, and why is progress so difficult? We dive into the complex systems that make climate change so hard to beat and ask tough questions: Can individuals make a difference, or is it all about governments and corporations? What roles do fossil fuels, agriculture, and meat consumption play? And is nuclear power part of the solution—or a dangerous distraction? Through science-based storytelling and sharp visuals, we examine not just the problems, but also the potential paths forward. Whether you’re new to the topic or looking to deepen your understanding, this series is your guide to the messy truth about climate change—and what we can do about it.",2024-06-07T11:31:22.38703Z,8,,1
PLFs4vir_WsTyS2cy4vj4obl5igqCOV749,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Immune System,"The immune system is one of the most complex and fascinating systems in the human body—a biological defense network shaped by millions of years of evolution. This playlist unpacks how it works, from the first line of defense to its most specialized soldiers, revealing how it protects us from threats like rabies, tuberculosis, and smallpox. But not all battles are won. We explore how the immune system struggles against cunning enemies like cancer, and how scientists are helping it fight back. What happens when viruses are genetically engineered—or when they evolve faster than we can respond? And what role do vaccines play in training our immune system and stopping pandemics before they start? From ancient plagues to cutting-edge biotechnology, this series dives deep into the inner workings of our most vital protector—and the invisible wars happening inside us every day.",2024-06-07T11:33:57.504575Z,17,,1
PLFs4vir_WsTzPHPJufbDcb-FzQ1__DVU_,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Dinosaurs,,2024-06-07T11:36:24.903224Z,3,,1
PLFs4vir_WsTxlR7cF1rv7Y1wdyde0lD10,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Nuclear,"Nuclear power is one of the most powerful—and controversial—forces humanity has ever harnessed. This playlist explores how nuclear energy works, its potential to help us fight climate change, and the risks that come with it. Are the benefits worth the danger? We break down the pros and cons, from clean electricity to radioactive waste. Speaking of waste—could we just launch it into space? And how dangerous is nuclear energy, really? We look at the human cost of past nuclear accidents and the lessons they’ve taught us. But the atom’s destructive side looms large: the threat of nuclear war still hangs over the world. What would happen if the worst came to pass? We dive into the terrifying concept of nuclear winter and what it means for life on Earth. Whether it’s energy or annihilation, this series unpacks the science and consequences of going nuclear—in all its forms.",2024-06-07T11:37:41.669695Z,9,,1
PLFs4vir_WsTygaVbFuJquGLnjwc9Jmdz8,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,What if...,,2024-09-06T07:54:43.514236Z,21,,1
PLFs4vir_WsTx30NHTMpWKqmlTmiH1DA37,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Diseases,"Diseases are nature’s oldest killers—and some of the most fascinating. This playlist takes you deep into the world of infectious threats and how our bodies respond. From the familiar misery of the common cold to the terrifying horror of rabies and brain-eating amoebas, we uncover what happens when tiny invaders hijack our biology. Explore the long history of tuberculosis and smallpox, the rise of giant viruses, and the unique ways they challenge our immune system. We also dive into cancer—a disease from within—and how it turns our own cells against us. Along the way, learn why fever can be both a symptom and a weapon, and how evolution, medicine, and chance all play a role in who gets sick and who survives. These are the invisible battles happening every day inside billions of bodies—including yours.",2025-05-28T07:01:43.589356Z,14,,1
PLFs4vir_WsTxmlWOMqFdKRwwErRbnep0d,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Drugs,"Drugs shape our bodies, brains, and societies—often in surprising ways. This playlist explores the science behind some of the most widely used and controversial substances. What does new research say about weed? Why are smoking and vaping so addictive and appealing, especially to young people? And how did fentanyl spark a deadly epidemic in the U.S.? We unpack the biology, psychology, and social impact of drugs—and what makes them so hard to resist.",2025-05-28T07:03:29.829957Z,8,,1
PLFs4vir_WsTzSDAvym_1BFITfgJTf8qa4,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Ants,"Ants are tiny, but their worlds are vast, complex, and brutal. This playlist dives into the incredible lives of ants—like the weaver ant, which builds kingdoms from leaves with silk and teamwork. Discover epic wars between ant species, where colonies rise and fall, and uncover the dark side of ant society: slavery, where some ants capture and exploit others. From strategy to survival, these stories reveal the alien intelligence and ruthless efficiency of the insect world.",2025-05-28T07:04:04.493025Z,4,,1
PLFs4vir_WsTwCrTf_-NjTgt1foROcMC18,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Space Exploration,"Space is vast, beautiful—and full of questions we’re only beginning to answer. This playlist explores humanity’s future among the stars: from building the first bases on the Moon and Mars to the dream of colonizing the entire solar system. But space isn’t empty. We examine the growing threat of space junk and how it could trigger a devastating chain reaction. What technologies could help us thrive beyond Earth? Enter the world of Dyson spheres, Caplan thrusters, and megastructures that could reshape our cosmic destiny. Along the way, we ask one of the biggest questions of all: Are we alone? What might alien life look like—and why haven’t we found it yet? The Great Filter may hold the answer. From bold visions to existential mysteries, this series takes you on a journey through the possibilities—and perils—of our future in space.",2025-05-28T07:22:57.399248Z,26,,1
PLmAe9FghqQqv8v0UZQUB4OVFaOqXJyyit,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Das Universum,,2018-03-07T14:01:58.062363Z,27,,1
PLmAe9FghqQqsJo8yJaeO-M511ZmhKUp8y,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Philosophie,,2018-05-17T11:26:29.337517Z,18,,1
PLmAe9FghqQqt5Dk1JYM5AZ_x5Z7CtolST,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Biologie,,2018-05-17T11:27:23.702889Z,33,,1
PLmAe9FghqQqvLcE4-tKfFIU3uBzyyBEnF,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Physik,,2018-05-17T11:28:13.105063Z,20,,1
PLmAe9FghqQqvdpFfx43Mtk-6n3dZsJwv_,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Gesellschaft & Politik,,2018-05-17T11:29:00.600485Z,39,,1
PLmAe9FghqQqsJd04o_39TQF2PlnEBwP1p,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Das Ende von Allem!,,2019-12-18T12:21:23.637708Z,25,,1
PLmAe9FghqQqtWV_AknreACps75k5klydt,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,ALIENS,,2021-12-12T11:33:23.362999Z,10,,1
PLmAe9FghqQqtQpgVk8yMeQIFO7qrf50Vu,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,Ist die EU demokratisch? (Alle Versionen),,2024-04-15T13:49:44.789078Z,18,,1
PLSDEdEqaA8X8rvrnxTKP_r0PeuMmMgtFd,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,El universo y el espacio,,2022-04-12T08:51:20.345891Z,23,,1
PLSDEdEqaA8X9Zk_1A9Lwv5kT1DqQ0vFnz,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Medicina y biología,,2022-04-12T08:54:29.718795Z,23,,1
PLSDEdEqaA8X98mMjgvOOXf9jqE4AFuBfr,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Filosofía,,2022-04-12T08:57:08.756897Z,7,,1
PLSDEdEqaA8X8ocDytmGp2RCydXaZClK9t,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Vida alienígena,,2022-04-12T08:57:25.667229Z,6,,1
PLSDEdEqaA8X8_l4LhRGwrb_TkZo4sEwS7,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Física,,2022-04-12T08:57:38.053971Z,6,,1
PLSDEdEqaA8X9TiMKWpha_aAolMXURkteC,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Futurismo,,2022-04-12T09:02:38.441562Z,8,,1
PLSDEdEqaA8X_3jOv7oMdbFJ2k32XqTNy2,UCZcvCpFcLxOKGbMocVgLjEA,En Pocas Palabras – Kurzgesagt,Crisis existencial,,2022-04-12T09:03:59.854709Z,16,,1
PLZdVy4zaWqmUNkifJPcc6iIElsHNm4Y2l,UCzMHLUJ8xTqDq6xsk0N5IdQ,Tout Simplement – Kurzgesagt,Playlist de la crise existentielle,,2022-09-27T08:31:59.801089Z,8,,1
PLZdVy4zaWqmXSyi30N3-vkRWXHJIcSRdj,UCzMHLUJ8xTqDq6xsk0N5IdQ,Tout Simplement – Kurzgesagt,Univers et espace,,2022-09-27T08:33:10.966945Z,14,,1
PLZdVy4zaWqmVZtG9nAGpfD3y6dwL-s2YK,UCzMHLUJ8xTqDq6xsk0N5IdQ,Tout Simplement – Kurzgesagt,Médecine et biologie,,2022-09-27T08:33:48.156181Z,13,,1
PLZdVy4zaWqmV-aepmb8lW8GRruMtQWiA5,UCzMHLUJ8xTqDq6xsk0N5IdQ,Tout Simplement – Kurzgesagt,Physique,,2022-09-27T08:35:54.575583Z,5,,1
PLxx26T2z6KyysyENf9ICYhIi6wn0kRK84,UCCYb8bp7v9maNk5n3nfw-Lg,Em Poucas Palavras – Kurzgesagt,A Playlist da Crise Existencial,,2022-09-27T08:40:16.671608Z,7,,1
PLxx26T2z6Kywk3faJsxeJTCoHse1h-fdJ,UCCYb8bp7v9maNk5n3nfw-Lg,Em Poucas Palavras – Kurzgesagt,O Universo e o Espaço,,2022-09-27T08:40:47.568857Z,13,,1
PLxx26T2z6Kyxs7smdLtwwoT0UPXzdQTAZ,UCCYb8bp7v9maNk5n3nfw-Lg,Em Poucas Palavras – Kurzgesagt,Medicina e Biologia,,2022-09-27T08:41:20.800235Z,13,,1
PLxx26T2z6Kyz1WM8xjTFG2RHgQRWUc_Eg,UCCYb8bp7v9maNk5n3nfw-Lg,Em Poucas Palavras – Kurzgesagt,Filosofia,,2022-09-27T08:42:19.31899Z,5,,1
PLxx26T2z6Kyy-1QyTl1oeZZ8ys2ErS5kM,UCCYb8bp7v9maNk5n3nfw-Lg,Em Poucas Palavras – Kurzgesagt,Física,,2022-09-27T08:43:07.965105Z,5,,1
PL9E1oWUyvX3nSIr07p70cemiMxhY3khSM,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,قائمة الأزمات الوجودية,,2022-09-27T08:56:18.057778Z,7,,1
PL9E1oWUyvX3kZedobqmU4dBra0G1k4v4G,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,الكون والفضاء,,2022-09-27T08:56:54.18378Z,12,,1
PL9E1oWUyvX3nROnA5D1U-z2kvuuIvPHnG,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,الطب والأحياء,,2022-09-27T08:57:29.989314Z,12,,1
PL9E1oWUyvX3l81HrvkzcsftDM8zWT-K_i,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,الفلسفة,,2022-09-27T08:58:19.807134Z,5,,1
PL9E1oWUyvX3l9JtxBgdGV6-dR52y5kBeI,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,الحياة في الفضاء,,2022-09-27T08:58:40.545935Z,5,,1
PL9E1oWUyvX3lENgGFoFSks0KOZ9iA11PD,UCn5ASYdp7CzbFH2qtqjIJ9w,بكل بساطة – Kurzgesagt ,الفيزياء,,2022-09-27T08:59:04.082246Z,5,,1
PLqRPsI-CbGbH-zBjHYdkmZKzklIyd1AK9,UCIR1LQvYrHOWBpOGq5nFo0Q,आसान शब्दों में — Kurzgesagt,द यूनिवर्स एण्ड स्पेस (ब्रह्माण्ड और अन्तरिक्ष),,2022-09-27T08:44:51.56992Z,13,,1
PLQ6crOQHQRLRsSNbQ99YwHMxcGnBTcQvy,UCzw2KK537iRgsrYnWaEMs8Q,世界をわかりやすく – Kurzgesagt,実存の危機プレイリスト,,2022-09-26T14:35:31.185477Z,7,,1
PLQ6crOQHQRLRaMsQg-on4tJLj83dRD4Zh,UCzw2KK537iRgsrYnWaEMs8Q,世界をわかりやすく – Kurzgesagt,銀河と宇宙,,2022-09-26T14:36:43.230173Z,13,,1
PL772556F1EFC4D01C,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Controversies and misconceptions,,2011-10-11T07:17:43.298873Z,30,,1
FLHnyfMqiRRG1u-2MsSQLbXA,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Favorites,,2011-12-19T07:21:39Z,25,en,1
PL16649CCE7EFA8B2F,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,New Here? Try These!,,2012-07-15T19:13:15.877503Z,20,,1
PLkahZjV5wKe-Z1RP3ZiYwe8JSAolmqF9M,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Math,,2024-01-30T12:42:44.409198Z,26,,1
PLkahZjV5wKe9q3K-nk82kVD_pNfPZ140i,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Physics,,2024-01-30T12:50:30.612998Z,38,,1
PLkahZjV5wKe9EKkCQ25-XxvtRWgW-BtC3,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Engineering,,2024-01-30T12:56:09.472921Z,30,,1
PLkahZjV5wKe-bi4kBx7b9rX80g6SMW78H,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Space,,2024-01-30T12:59:51.174583Z,18,,1
PLkahZjV5wKe9KR-mQ_0BpoJpRtHswR0PN,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Experiments,,2024-01-30T13:05:50.334108Z,23,,1
PLkahZjV5wKe8VBzJn5wfJ7Avf_nr6Pt2N,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Psychology,,2024-01-30T13:09:03.677831Z,22,,1
PLkahZjV5wKe_Yh-7VFrP1bxJOtkVzdqeB,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Fascinating Stories,,2024-01-30T13:13:23.255259Z,21,,1
PLkahZjV5wKe9SnioAU2Mpkjf2_kbGQTxQ,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Cool Tech,,2024-01-30T13:16:33.808157Z,19,,1
PLkahZjV5wKe-lnPv1TseLsmMexz3IO81Q,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Biology,,2024-01-30T13:18:53.678655Z,20,,1
PLkahZjV5wKe8w9GC_n2yyhx6Wj-NKzzeE,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Computing,,2024-11-27T11:48:22.010995Z,5,,1
PLS2yrp7IIPNj-GKemcb5p8IrIA7EUwvTE,UC2LZO6swZ9SLUEOks3WnsfA,2veritasium,Veritasium On Filmmaking,Veritasium discusses how to make science videos and links Ira Glass On Storytelling,2013-04-09T14:13:34.181205Z,6,,1
PLqs5ohhass_TBfFNkl6wUaPSBTZK4xTv8,UC2C_jShtL725hvbm1arSV9w,CGP Grey,📬 Q&A with Grey: 📭,,2017-04-19T14:19:56.807827Z,8,,1
PLqs5ohhass_Tm5UfnXNWl7qBDy66lOdKg,UC2C_jShtL725hvbm1arSV9w,CGP Grey,🌲 Grey Goes Outside! 🌲,,2020-03-04T11:37:40.816182Z,12,,1
PLqs5ohhass_STBfubAdle9dsyWrqu6G6r,UC2C_jShtL725hvbm1arSV9w,CGP Grey,👑 Best Videos 👑​,,2020-03-07T20:58:55.212403Z,14,,1
PLqs5ohhass_Ti_MyDhtRvw59GgGKcdstB,UC2C_jShtL725hvbm1arSV9w,CGP Grey,Grey's Director Commentaries,Behind the scenes,2020-06-06T09:32:34.893341Z,9,,1
