channel_id,language_code,title,description
UC7IZjtoKFmgE4f2UnWBUjaA,bg_BG,Джейми Социален,"Чувствали ли сте някога, че социалните неща са много по-сложни, отколкото трябва да бъдат? И аз също!
Аз съм Джейми и този канал разглежда всички тези неписани правила на човешкото взаимодействие, използвайки фигурки от клечки (защо да усложняваме нещата още повече?).
Тук няма жаргон или празни теории—само ясни съвети за справяне с неудобни разговори, изграждане на по-добри отношения и разбиране защо правим странните неща, които правим.
Независимо дали се опитвате да навигирате в офис политиката, запознанствата, приятелствата, или просто искате да спрете този глас в главата си, който прекалено анализира всичко, аз съм тук за вас.
Нови видеа всяка седмица, които ще ви помогнат да разберете хората (включително себе си), без да се нуждаете от диплома по психология. Абонирайте се, ако сте готови да подобрите уменията си за общуване с хора, докато гледате фигурки от клечки да обясняват живота!"
UC7IZjtoKFmgE4f2UnWBUjaA,bn_BD,জেমি সোশ্যাল,"কখনো মনে হয়েছে যে সামাজিক বিষয়গুলো প্রয়োজনের চেয়ে অনেক বেশি জটিল? আমারও তাই মনে হয়!
আমি জেমি, এবং এই চ্যানেলটি স্টিক ফিগার ব্যবহার করে মানুষের মিথস্ক্রিয়ার সব অলিখিত নিয়মগুলো ভেঙে দেয় (কেন আরো জটিল করব?)।
এখানে কোনো শব্দজাল বা ফাঁপা তত্ত্ব নেই—শুধু সরাসরি টিপস যা বিশ্রী কথোপকথন সামলানো, ভালো সম্পর্ক গড়ে তোলা, এবং আমরা কেন অদ্ভুত কাজ করি তা বোঝার জন্য।
আপনি অফিস রাজনীতি, ডেটিং, বন্ধুত্ব নেভিগেট করার চেষ্টা করুন বা শুধু আপনার মাথার সেই কণ্ঠস্বর বন্ধ করতে চান যা সবকিছু অতিরিক্ত বিশ্লেষণ করে, আমি আপনার সাথে আছি।
প্রতি সপ্তাহে নতুন ভিডিও যা আপনাকে মনোবিজ্ঞানের ডিগ্রি ছাড়াই মানুষকে (নিজেকে সহ) বুঝতে সাহায্য করবে। আপনি যদি স্টিক ফিগারদের জীবন ব্যাখ্যা করতে দেখে আপনার সামাজিক দক্ষতা বাড়াতে প্রস্তুত হন, তাহলে সাবস্ক্রাইব করুন!"
UC7IZjtoKFmgE4f2UnWBUjaA,bs_BA,Jamie Društveni,"Jeste li ikad imali osjećaj da su društvene stvari mnogo komplikovanije nego što trebaju biti? I ja isto!
Ja sam Jamie, i ovaj kanal objašnjava sva ta nepisana pravila ljudske interakcije koristeći štapić-figure (jer zašto dodatno komplikovati stvari?).
Ovdje nema žargona ili napuhanih teorija—samo jasni savjeti o tome kako se nositi s neugodnim razgovorima, graditi bolje odnose i razumjeti zašto radimo čudne stvari koje radimo.
Bilo da pokušavate navigirati kroz kancelarijske politike, zabavljanje, prijateljstva, ili jednostavno želite zaustaviti taj glas u glavi koji sve previše analizira, tu sam za vas.
Novi videji svake sedmice koji će vam pomoći da razumijete ljude (uključujući sebe) bez potrebe za diplom iz psihologije. Pretplatite se ako ste spremni poboljšati svoje vještine u ophođenju s ljudima dok gledate štapić-figure kako objašnjavaju život!"
UC7IZjtoKFmgE4f2UnWBUjaA,ca_ES,Jamie Social,"Has sentit mai que les coses socials són molt més complicades del que haurien de ser? Jo també!
Sóc en Jamie, i aquest canal desglossa totes aquestes regles no escrites de la interacció humana utilitzant figures de pal (perquè complicar-ho encara més?).
Aquí no hi ha argot ni teories buides—només consells directes per tractar converses incòmodes, construir millors relacions i entendre per què fem les coses estranyes que fem.
Tant si estàs intentant navegar per la política d'oficina, les cites, les amistats, o simplement vols aturar aquesta veu al teu cap que ho analitza tot en excés, et tinc cobert.
Vídeos nous cada setmana que t'ajudaran a entendre la gent (inclòs tu mateix) sense necessitat d'un títol en psicologia. Subscriu-te si estàs preparat per millorar les teves habilitats socials mentre veus figures de pal explicar la vida!"
UC7IZjtoKFmgE4f2UnWBUjaA,cs_CZ,Jamie Sociální,"Připadá vám někdy, že sociální věci jsou daleko komplikovanější, než by měly být? Mně taky!
Jsem Jamie a tento kanál rozebírá všechna ta nepsaná pravidla lidské interakce pomocí panáčků (proč to dělat ještě složitější?).
Žádný žargon ani nadýchané teorie—jen přímočaré tipy na zvládání trapných konverzací, budování lepších vztahů a pochopení toho, proč děláme ty divné věci, co děláme.
Ať už se snažíte zorientovat v kancelářské politice, randění, přátelstvích, nebo jen chcete umlčet ten hlas v hlavě, který všechno přeanalyzovává, mám pro vás řešení.
Každý týden nová videa, která vám pomohou pochopit lidi (včetně sebe sama), aniž byste potřebovali titul z psychologie. Odebírejte, pokud jste připraveni vylepšit své sociální dovednosti při sledování panáčků vysvětlujících život!"
UC7IZjtoKFmgE4f2UnWBUjaA,da_DK,Jamie Sociale,"Føler du nogensinde, at sociale ting er meget mere komplicerede, end de behøver at være? Det gør jeg også!
Jeg er Jamie, og denne kanal forklarer alle de uskrevne regler for menneskelig interaktion ved hjælp af streg-figurer (for hvorfor gøre tingene endnu mere komplicerede?).
Ingen jargon eller luftige teorier her—bare ligetil tips til at håndtere akavede samtaler, opbygge bedre forhold og forstå, hvorfor vi gør de mærkelige ting, vi gør.
Uanset om du prøver at navigere i kontorpolitik, dating, venskaber, eller bare vil stoppe den stemme i dit hoved, der overanalyserer alt, så har jeg dig dækket.
Nye videoer hver uge, der hjælper dig med at forstå mennesker (inklusive dig selv) uden at skulle have en grad i psykologi. Abonnér, hvis du er klar til at forbedre dine sociale færdigheder, mens du ser streg-figurer forklare livet!"
UC7IZjtoKFmgE4f2UnWBUjaA,de_DE,Jamie Social,"Du hast auch schon mal das Gefühl gehabt, dass soziale Dinge viel komplizierter sind als nötig? Ich auch!
Ich bin Jamie und auf diesem Kanal erkläre ich all die ungeschriebenen Regeln menschlicher Interaktion mit Strichmännchen (denn warum die Sache noch komplizierter machen?).
Kein Fachjargon oder schwammige Theorien hier—nur direkte Tipps zum Umgang mit unangenehmen Gesprächen, zum Aufbau besserer Beziehungen und zum Verständnis, warum wir die seltsamen Dinge tun, die wir tun.
Ob du versuchst, durch Büropolitik, Dates, Freundschaften zu navigieren, oder einfach nur diese Stimme in deinem Kopf abstellen willst, die alles überanalysiert – ich hab's für dich.
Neue Videos jede Woche, die dir helfen, Menschen (auch dich selbst) zu verstehen, ohne einen Psychologie-Abschluss zu brauchen. Abonniere, wenn du bereit bist, deine sozialen Fähigkeiten zu verbessern, während du Strichmännchen dabei zuschaust, wie sie das Leben erklären!"
UC7IZjtoKFmgE4f2UnWBUjaA,el_GR,Τζέιμι Social,"Έχεις νιώσει ποτέ ότι τα κοινωνικά πράγματα είναι πολύ πιο περίπλοκα από ό,τι χρειάζεται να είναι; Κι εγώ το ίδιο!
Είμαι η Jamie, και αυτό το κανάλι αναλύει όλους αυτούς τους άγραφους κανόνες της ανθρώπινης αλληλεπίδρασης χρησιμοποιώντας stick figures (γιατί να περιπλέξουμε τα πράγματα περισσότερο;).
Δεν υπάρχει ιδιωματισμός ή αερώδεις θεωρίες εδώ—μόνο ξεκάθαρες συμβουλές για το πώς να αντιμετωπίζεις άβολες συζητήσεις, να χτίζεις καλύτερες σχέσεις, και να καταλαβαίνεις γιατί κάνουμε τα παράξενα πράγματα που κάνουμε.
Είτε προσπαθείς να περιηγηθείς στην πολιτική του γραφείου, στα ραντεβού, στις φιλίες, ή απλώς θέλεις να σταματήσεις εκείνη τη φωνή στο κεφάλι σου που υπεραναλύει τα πάντα, σε έχω καλυμμένη.
Νέα βίντεο κάθε εβδομάδα που θα σε βοηθήσουν να καταλάβεις τους ανθρώπους (συμπεριλαμβανομένου του εαυτού σου) χωρίς να χρειάζεσαι πτυχίο ψυχολογίας. Κάνε εγγραφή αν είσαι έτοιμη να αναβαθμίσεις τις κοινωνικές σου δεξιότητες!"
UC7IZjtoKFmgE4f2UnWBUjaA,en_GB,Jamie Social,"Ever feel like social stuff is way more complicated than it needs to be? Same here!
I'm Jamie, and this channel breaks down all those unwritten rules of human interaction using stick figures (because why complicate things further?).
No jargon or fluffy theories here—just straightforward tips on dealing with awkward conversations, building better relationships, and understanding why we do the weird things we do.
Whether you're trying to navigate office politics, dating, friendships, or just want to stop that voice in your head that overanalyses everything, I've got you covered.
New videos every week that'll help you make sense of people (including yourself) without needing a psychology degree. Subscribe if you're ready to level up your people skills whilst watching stick figures explain life!"
UC7IZjtoKFmgE4f2UnWBUjaA,en_IN,Jamie Social,"Ever feel like social stuff is way more complicated than it needs to be? Same here!
I'm Jamie, and this channel breaks down all those unwritten rules of human interaction using stick figures (because why complicate things further?).
No jargon or fluffy theories here—just straightforward tips on dealing with awkward conversations, building better relationships, and understanding why we do the weird things we do.
Whether you're trying to navigate office politics, dating, friendships, or just want to stop that voice in your head that overanalyses everything, I've got you covered.
New videos every week that'll help you make sense of people (including yourself) without needing a psychology degree. Subscribe if you're ready to level up your people skills whilst watching stick figures explain life!"
UC7IZjtoKFmgE4f2UnWBUjaA,en_US,Jamie Social,"Ever feel like social stuff is way more complicated than it needs to be? Same here!

I'm Jamie, and this channel breaks down all those unwritten rules of human interaction using stick figures (because why complicate things further?).

No jargon or fluffy theories here—just straightforward tips on dealing with awkward convos, building better relationships, and understanding why we do the weird things we do.

Whether you're trying to navigate office politics, dating, friendships, or just want to stop that voice in your head that overanalyzes everything, I've got you covered.

New videos every week that'll help you make sense of people (including yourself) without needing a psychology degree. Subscribe if you're ready to level up your people skills while watching stick figures explain life!
"
UC7IZjtoKFmgE4f2UnWBUjaA,es_ES,Jamie Social,"¿Alguna vez has sentido que las cosas sociales son mucho más complicadas de lo necesario? ¡Yo también!
Soy Jamie, y este canal desglosa todas esas reglas no escritas de la interacción humana usando figuras de palitos (porque, ¿para qué complicar más las cosas?).
Aquí no hay jerga ni teorías rebuscadas—solo consejos directos sobre cómo manejar conversaciones incómodas, construir mejores relaciones y entender por qué hacemos las cosas raras que hacemos.
Ya sea que estés tratando de navegar la política de oficina, las citas, amistades, o simplemente quieras callar esa voz en tu cabeza que sobreanaliza todo, te tengo cubierto.
Nuevos videos cada semana que te ayudarán a entender a las personas (incluyéndote a ti mismo) sin necesitar un título en psicología. ¡Suscríbete si estás listo para mejorar tus habilidades sociales mientras ves a figuras de palitos explicar la vida!"
UC7IZjtoKFmgE4f2UnWBUjaA,es_MX,Jamie Social,"¿Alguna vez sientes que las cosas sociales son mucho más complicadas de lo que deberían ser? ¡A mí también!
Soy Jamie, y este canal desglosa todas esas reglas no escritas de la interacción humana usando figuras de palitos (¿para qué complicar las cosas más?).
Aquí no hay jerga ni teorías rebuscadas—solo consejos directos para lidiar con conversaciones incómodas, construir mejores relaciones y entender por qué hacemos las cosas raras que hacemos.
Ya sea que estés tratando de navegar la política de oficina, las citas, las amistades, o simplemente quieras parar esa voz en tu cabeza que sobreanaliza todo, te tengo cubierto.
Videos nuevos cada semana que te ayudarán a entender a las personas (incluyéndote a ti) sin necesidad de un título en psicología. ¡Suscríbete si estás listo para mejorar tus habilidades sociales mientras ves figuras de palitos explicar la vida!"
UC7IZjtoKFmgE4f2UnWBUjaA,es_US,Jamie Social,"¿Alguna vez sientes que las cosas sociales son mucho más complicadas de lo que necesitan ser? ¡A mí también!
Soy Jamie, y este canal desglosa todas esas reglas no escritas de la interacción humana usando figuras de palitos (¿por qué complicar las cosas aún más?).
Aquí no hay jerga ni teorías pomposas—solo consejos directos para lidiar con conversaciones incómodas, construir mejores relaciones y entender por qué hacemos las cosas raras que hacemos.
Ya sea que estés tratando de navegar la política de oficina, las citas, las amistades, o simplemente quieras parar esa voz en tu cabeza que sobreanaliza todo, te tengo cubierto.
¡Videos nuevos cada semana que te ayudarán a entender a las personas (incluyéndote a ti) sin necesidad de un título en psicología! Suscríbete si estás listo para mejorar tus habilidades sociales mientras ves figuras de palitos explicar la vida!"
UC7IZjtoKFmgE4f2UnWBUjaA,et_EE,Jamie Sotsiaalne,"Kas tunned kunagi, et sotsiaalsed asjad on palju keerulisemad kui vaja? Mina ka!
Olen Jamie ja see kanal selgitab kõiki neid kirjutamata reegleid inimsuhtluses pulkade abil (miks muuta asju veelgi keerulisemaks?).
Siin pole žargooni ega tühje teooriaid—ainult otsekohesed nõuanded kohmakate vestluste pidamiseks, paremate suhete loomiseks ja selle mõistmiseks, miks me teeme neid veidraid asju, mida teeme.
Ükskõik kas üritad navigeerida kontoripoliitikas, kohtingutel, sõprussuhetes või tahad lihtsalt peatada selle hääle peas, mis kõike üle analüüsib, olen sind katnud.
Iga nädal uued videod, mis aitavad sul inimesi mõista (kaasa arvatud iseennast) ilma psühholoogiadiplomita. Telli, kui oled valmis oma sotsiaalseid oskusi parandama, vaadates kuidas pulgad elu selgitavad!"
UC7IZjtoKFmgE4f2UnWBUjaA,eu_ES,Jamie Social,"Inoiz sentitu al duzu gizarte gaiak behar baino askoz ere korapilotsuagoak direla? Ni ere bai!
Ni Jamie naiz, eta kanal honek giza elkarrekintzaren idatzi gabeko arau guztiak azaltzen ditu makil-irudiak erabiliz (zergatik korapilatu gehiago?).
Hemen ez dago hiztegirik edo teoria hutsalik—aholku zuzenak bakarrik, egoera ezin batean hitz egiteko, harreman hobeak eraikitzeko, eta zergatik egiten ditugun gauza arraroak ulertzeko.
Bulegoko politiketan, ligan, adiskidetzetan nabigatu nahi duzun ala buruan duzun dena gehiegi aztertzen duen ahotsa gelditu nahi duzun, nik lagunduko dizut.
Astero bideo berriak psikologiako titulua behar izan gabe jendea (zeu barne) ulertzen lagunduko dizutenak. Makil-irudiek bizitza azaltzen ikusten ari zaren bitartean zure jende trebetasunak hobetzeko prest bazaude, harpidetu!"
UC7IZjtoKFmgE4f2UnWBUjaA,fa_IR,جیمی سوشال,"تا حالا احساس کرده‌ای که مسائل اجتماعی خیلی پیچیده‌تر از اونچیزی هستن که باید باشن؟ منم همینطور!
من جیمی هستم، و این کانال تمام اون قوانین نانوشته‌ی تعامل انسانی رو با استفاده از آدمک‌های چوبی ساده می‌کنه (چون چرا باید اوضاع رو پیچیده‌تر کنیم؟).
اینجا هیچ اصطلاح پیچیده یا تئوری‌های پوچی نیست—فقط راهکارهای مستقیم برای مقابله با مکالمات ناخوشایند، ساختن روابط بهتر، و فهمیدن اینکه چرا کارهای عجیب و غریب انجام می‌دیم.
چه داری سعی می‌کنی توی سیاست اداری، دوست‌یابی، دوستی‌ها راهت رو پیدا کنی یا فقط می‌خوای اون صدای توی سرت رو که همه چیز رو زیادی تحلیل می‌کنه ساکت کنی، من پشتتم.
هر هفته ویدیوهای جدید که بهت کمک می‌کنن آدم‌ها رو (از جمله خودت) بدون نیاز به مدرک روان‌شناسی بفهمی. اگه آماده‌ای مهارت‌های اجتماعیت رو ارتقا بدی در حالی که آدمک‌های چوبی دارن زندگی رو توضیح می‌دن، سابسکرایب کن!"
UC7IZjtoKFmgE4f2UnWBUjaA,fi_FI,Jamie Sosiaalinen,"Tuntuuko siltä, että sosiaaliset jutut ovat paljon monimutkaisempia kuin niiden tarvitsisi olla? Sama täällä!
Olen Jamie, ja tämä kanava purkaa kaikki ne kirjoittamattomat ihmisten välisen vuorovaikutuksen säännöt käyttämällä tikku-ukkoja (miksi mutkistaa asioita entisestään?).
Ei ammattikieltä tai höttöisiä teorioita täällä—vain suoraviivaisia vinkkejä kiusallisten keskustelujen käsittelyyn, parempien ihmissuhteiden rakentamiseen ja sen ymmärtämiseen, miksi teemme niitä outoja asioita mitä teemme.
Olitpa sitten navigoimassa toimistopolitiikkaa, deittailua, ystävyyssuhteita, tai haluat vain lopettaa sen äänen päässäsi joka analysoi kaiken liikaa, minä autan sinua.
Uusia videoita joka viikko, jotka auttavat sinua ymmärtämään ihmisiä (itsesi mukaan lukien) ilman psykologian tutkintoa. Tilaa jos olet valmis nostamaan ihmistaitojasi seuraavalle tasolle samalla kun katsot tikku-ukkojen selittävän elämää!"
UC7IZjtoKFmgE4f2UnWBUjaA,fil_PH,Social ni Jamie,"Naramdaman mo na ba na mas komplikado pa ang mga social stuff kaysa sa kailangan? Pareho tayo! Ako si Jamie, at ang channel na ito ay nagpapaliwanag ng lahat ng mga hindi nakasulat na patakaran ng pakikipag-ugnayan sa tao gamit ang stick figures (bakit pa natin pahihirapan pa lalo?). Walang jargon o mga malabong teorya dito—mga tuwiran lang na tips sa pag-handle ng mga awkward na usapan, pagbuo ng mas magandang relationships, at pag-unawa kung bakit ginagawa natin ang mga kakaibang bagay na ginagawa natin. Kung sinusubukan mong mag-navigate sa office politics, dating, friendships, o gusto mo lang na tumigil yung boses sa ulo mo na sobrang nag-a-analyze ng lahat, saklaw kita. May mga bagong video bawat linggo na makakatulong sa'yo na maintindihan ang mga tao (kasama ka na) nang hindi na kailangan ng psychology degree. Mag-subscribe kung ready ka nang i-level up ang people skills mo habang nanonood ng stick figures na nagpapaliwanag ng buhay!"
UC7IZjtoKFmgE4f2UnWBUjaA,fr_CA,Jamie Social,"Tu as déjà eu l'impression que les affaires sociales sont ben plus compliquées qu'elles devraient l'être? Moi itou!
Je suis Jamie, pis cette chaîne décortique toutes ces règles non écrites de l'interaction humaine en utilisant des bonshommes allumettes (pourquoi compliquer les choses encore plus?).
Pas de jargon ou de théories flafla icitte—juste des conseils straight à point pour dealer avec des conversations awkward, bâtir de meilleures relations, pis comprendre pourquoi on fait les affaires bizarres qu'on fait.
Que tu essaies de naviguer la politique de bureau, le dating, les amitiés, ou tu veux juste arrêter cette voix dans ta tête qui overanalyse toute, je te couvre.
Des nouvelles vidéos à chaque semaine qui vont t'aider à faire du sens avec le monde (toi inclus) sans avoir besoin d'un degré en psychologie. Abonne-toi si t'es prêt à level up tes people skills en regardant des bonshommes allumettes expliquer la vie!"
UC7IZjtoKFmgE4f2UnWBUjaA,fr_FR,Jamie Social,"Vous avez déjà l'impression que les interactions sociales sont bien plus compliquées qu'elles ne devraient l'être ? Moi aussi !
Je m'appelle Jamie, et cette chaîne décortique toutes ces règles non-écrites des relations humaines à l'aide de bonshommes allumettes (parce que pourquoi compliquer davantage les choses ?).
Pas de jargon ni de théories pompeuses ici—juste des conseils simples pour gérer les conversations gênantes, construire de meilleures relations, et comprendre pourquoi nous faisons ces choses bizarres que nous faisons.
Que vous essayiez de naviguer dans les politiques de bureau, les rendez-vous amoureux, les amitiés, ou que vous vouliez simplement faire taire cette voix dans votre tête qui sur-analyse tout.
Nouvelles vidéos chaque semaine qui vous aideront à comprendre les gens (y compris vous-même) sans avoir besoin d'un diplôme en psychologie. Abonnez-vous si vous êtes prêt à améliorer vos compétences sociales tout en regardant des bonshommes allumettes expliquer la vie !"
UC7IZjtoKFmgE4f2UnWBUjaA,gl_ES,Social con Jamie,"Algunha vez sentiches que as cousas sociais son moito máis complicadas do que deberían ser? A min tamén me pasa!
Son Jamie, e este canal descompón todas esas regras non escritas da interacción humana usando figuras de paus (porque para que complicar máis as cousas?).
Aquí non hai xerga nin teorías rebuscadas—só consellos directos para xestionar conversas incómodas, construír mellores relacións e entender por que facemos as cousas raras que facemos.
Tanto se estás tentando navegar polas políticas de oficina, citas, amizades, ou simplemente queres parar esa voz na túa cabeza que analiza todo en exceso, eu cóbrote.
Novos vídeos cada semana que che axudarán a entender a xente (incluíndote a ti) sen necesidade dun título en psicoloxía. Subscríbete se estás preparado para subir de nivel as túas habilidades sociais mentres miras figuras de paus explicando a vida!"
